Peso,elastic_energy,CO2,dofS,TCP_X_pos_list,TCP_X,TCP_Y_pos_list,TCP_Y,TCP_Z_pos_list,TCP_Z,TCP_A_pos_list,TCP_A,TCP_B_pos_list,TCP_B,TCP_C_pos_list,TCP_C
9314.347832196416,6.880295135502573,17231.54348956337,382746,"[-7.701017283722711e-05, -7.97628426388292e-05, -8.639197774070134e-05, -9.174264993715488e-05, -9.455628954806456e-05, -8.957696321418048e-05, -8.561217429195463e-05, -8.106868668730495e-05, -7.750943489491688e-05, -8.106868668730495e-05, -8.561217429195463e-05, -8.957696321418048e-05, -9.455628954806456e-05, -9.174264993715488e-05, -8.639197774070134e-05, -7.97628426388292e-05, -7.701017283722711e-05]",1.0111277121822941e-05,"[-5.841829485554974e-05, -5.667799554321539e-05, -2.818726323069457e-05, -2.9951998400855332e-05, -2.6058373467707637e-05, -1.774752363660956e-05, -9.693912922784908e-06, -9.21581176327324e-06, -6.757188026136232e-06, 9.21581176327324e-06, 9.693912922784908e-06, 1.774752363660956e-05, 2.6058373467707637e-05, 2.9951998400855332e-05, 2.818726323069457e-05, 5.667799554321539e-05, 5.841829485554974e-05]",6.8253981884848236e-06,"[-5.2533567823066697e-05, -5.646668587466135e-05, -6.35855099439875e-05, -6.810204376674069e-05, -7.203323374432737e-05, -7.303203533746776e-05, -7.278878470789694e-05, -7.392897280281499e-05, -7.490748434184763e-05, -7.392897280281499e-05, -7.278878470789694e-05, -7.303203533746776e-05, -7.203323374432737e-05, -6.810204376674069e-05, -6.35855099439875e-05, -5.646668587466135e-05, -5.2533567823066697e-05]",1.6445094610763162e-05,"[-1.9293475778674413e-05, -1.8668548271741777e-05, -9.138949278516433e-06, -9.648012745454274e-06, -8.295739736103884e-06, -5.445178428448238e-06, -2.7453208836124644e-06, -2.682216696649113e-06, -2.045164494843537e-06, 2.682216696649113e-06, 2.7453208836124644e-06, 5.445178428448238e-06, 8.295739736103884e-06, 9.648012745454274e-06, 9.138949278516433e-06, 1.8668548271741777e-05, 1.9293475778674413e-05]",2.2061986383682735e-05,"[3.088112761470999e-05, 3.149634749632619e-05, 3.327627845242244e-05, 3.4845022122529085e-05, 3.55924942235462e-05, 3.3753184828262165e-05, 3.247072717830811e-05, 3.090371005624713e-05, 2.952939475706998e-05, 3.090371005624713e-05, 3.247072717830811e-05, 3.3753184828262165e-05, 3.55924942235462e-05, 3.4845022122529085e-05, 3.327627845242244e-05, 3.149634749632619e-05, 3.088112761470999e-05]",2.5602003199770903e-06,"[3.711184835730823e-06, 3.321252348232006e-06, 1.5102866776468964e-06, 8.839997657868614e-07, -1.4443856059793197e-07, -2.1063950870194724e-06, -3.0458033592336025e-06, -1.8594481152499796e-06, 1.1568560397162143e-07, 1.8594481152499796e-06, 3.0458033592336025e-06, 2.1063950870194724e-06, 1.4443856059793197e-07, -8.839997657868614e-07, -1.5102866776468964e-06, -3.321252348232006e-06, -3.711184835730823e-06]",4.361667383271118e-06
10127.26986340981,7.845990889467673,18735.449247308152,433821,"[-6.337671193759228e-05, -6.623262848189586e-05, -6.839597981980741e-05, -7.227772383071908e-05, -7.512588501038027e-05, -7.356643071232027e-05, -7.08518491026141e-05, -6.844878623660237e-05, -6.645994038775076e-05, -6.844878623660237e-05, -7.08518491026141e-05, -7.356643071232027e-05, -7.512588501038027e-05, -7.227772383071908e-05, -6.839597981980741e-05, -6.623262848189586e-05, -6.337671193759228e-05]",7.2013685045349795e-06,"[-4.662294329879855e-05, -4.61573952137334e-05, -3.924328884665063e-05, -3.696103925477139e-05, -3.1486036108266404e-05, -2.2889635829364163e-05, -1.2128012383653346e-05, -5.597062266036516e-06, -3.04495399088943e-06, 5.597062266036516e-06, 1.2128012383653346e-05, 2.2889635829364163e-05, 3.1486036108266404e-05, 3.696103925477139e-05, 3.924328884665063e-05, 4.61573952137334e-05, 4.662294329879855e-05]",4.960778020049268e-06,"[-4.905434636262535e-05, -5.279998002900027e-05, -5.8157676358848654e-05, -6.264709851618689e-05, -6.622244505362982e-05, -6.833904849318638e-05, -6.882972476375625e-05, -7.012587194985811e-05, -7.052376567963759e-05, -7.012587194985811e-05, -6.882972476375625e-05, -6.833904849318638e-05, -6.622244505362982e-05, -6.264709851618689e-05, -5.8157676358848654e-05, -5.279998002900027e-05, -4.905434636262535e-05]",1.539231822545288e-05,"[-1.5252853654536323e-05, -1.5131073266849288e-05, -1.2813244815331894e-05, -1.2035731241339321e-05, -1.0176745539469336e-05, -7.228025868729529e-06, -3.6223881875264516e-06, -1.5042571938175344e-06, -8.014420896573739e-07, 1.5042571938175344e-06, 3.6223881875264516e-06, 7.228025868729529e-06, 1.0176745539469336e-05, 1.2035731241339321e-05, 1.2813244815331894e-05, 1.5131073266849288e-05, 1.5252853654536323e-05]",1.8494673289125342e-05,"[2.5684308317433047e-05, 2.630676536871186e-05, 2.6757970480758992e-05, 2.7823207467151932e-05, 2.8527575467017425e-05, 2.7873625470338685e-05, 2.6916204501017124e-05, 2.5983722143037973e-05, 2.5206959293537125e-05, 2.5983722143037973e-05, 2.6916204501017124e-05, 2.7873625470338685e-05, 2.8527575467017425e-05, 2.7823207467151932e-05, 2.6757970480758992e-05, 2.630676536871186e-05, 2.5684308317433047e-05]",1.5610523737539725e-06,"[1.5773905603107209e-06, 2.192687471978842e-06, 1.965015511146004e-06, 1.8636185622673118e-06, 6.699579011325455e-07, -1.1973853535498143e-06, -2.06646883095919e-06, -1.5871878691991645e-06, -6.027155835024012e-09, 1.5871878691991645e-06, 2.06646883095919e-06, 1.1973853535498143e-06, -6.699579011325455e-07, -1.8636185622673118e-06, -1.965015511146004e-06, -2.192687471978842e-06, -1.5773905603107209e-06]",2.287082064419445e-06
10122.834062519014,11.707121745400844,18727.243015660177,432249,"[-7.255535374458197e-05, -7.390581211537395e-05, -7.278240378612065e-05, -7.25124832145556e-05, -8.458186854832061e-05, -7.913341621416828e-05, -8.006088329173723e-05, -8.126824218905849e-05, -9.001248911039233e-05, -8.126824218905849e-05, -8.006088329173723e-05, -7.913341621416828e-05, -8.458186854832061e-05, -7.25124832145556e-05, -7.278240378612065e-05, -7.390581211537395e-05, -7.255535374458197e-05]",7.470792366925077e-06,"[-6.621392388293187e-05, -6.227361071909282e-05, -4.533574511610654e-05, -5.084125004095873e-05, -3.71787371294529e-05, -2.776932143137257e-05, -4.836896429946133e-06, -1.6992213958985575e-05, -1.2611371383352378e-06, 1.6992213958985575e-05, 4.836896429946133e-06, 2.776932143137257e-05, 3.71787371294529e-05, 5.084125004095873e-05, 4.533574511610654e-05, 6.227361071909282e-05, 6.621392388293187e-05]",6.563746654909886e-06,"[-5.632001968634404e-05, -6.360555613882949e-05, -7.196680421642061e-05, -7.467928752194055e-05, -8.336878472705994e-05, -8.383044833576209e-05, -8.621026221769919e-05, -8.727815210398574e-05, -9.067332484430943e-05, -8.727815210398574e-05, -8.621026221769919e-05, -8.383044833576209e-05, -8.336878472705994e-05, -7.467928752194055e-05, -7.196680421642061e-05, -6.360555613882949e-05, -5.632001968634404e-05]",2.3175368127547676e-05,"[-2.164257717020247e-05, -2.036199473139968e-05, -1.4687815522048258e-05, -1.649712742189642e-05, -1.2056209538343529e-05, -8.947742131701688e-06, -1.2459577173596227e-06, -5.287660745609062e-06, -1.7919881755346047e-07, 5.287660745609062e-06, 1.2459577173596227e-06, 8.947742131701688e-06, 1.2056209538343529e-05, 1.649712742189642e-05, 1.4687815522048258e-05, 2.036199473139968e-05, 2.164257717020247e-05]",2.5675285979678958e-05,"[2.8972355464328064e-05, 2.8989232512830688e-05, 2.8314249422899798e-05, 2.830729052717924e-05, 3.186507834134592e-05, 3.0129549782211505e-05, 3.0087882227655098e-05, 3.056294262712996e-05, 3.310102138035722e-05, 3.056294262712996e-05, 3.0087882227655098e-05, 3.0129549782211505e-05, 3.186507834134592e-05, 2.830729052717924e-05, 2.8314249422899798e-05, 2.8989232512830688e-05, 2.8972355464328064e-05]",1.6406581428689648e-06,"[1.7230036651338017e-06, 1.643179257047931e-06, 2.9459678792990696e-07, 1.3067056631269427e-06, 1.0762927604773238e-06, 6.63489963200734e-07, -1.0443892223579976e-06, -1.8809033069411414e-07, -6.300875357835733e-07, 1.8809033069411414e-07, 1.0443892223579976e-06, -6.63489963200734e-07, -1.0762927604773238e-06, -1.3067056631269427e-06, -2.9459678792990696e-07, -1.643179257047931e-06, -1.7230036651338017e-06]",2.078071805830628e-06
9314.347832196416,6.880260485826215,17231.54348956337,382746,"[-7.700815447245821e-05, -7.97637815285046e-05, -8.639223022692621e-05, -9.173874936542817e-05, -9.455492981856827e-05, -8.957823918037875e-05, -8.560927144588412e-05, -8.1068505735701e-05, -7.750645496711005e-05, -8.1068505735701e-05, -8.560927144588412e-05, -8.957823918037875e-05, -9.455492981856827e-05, -9.173874936542817e-05, -8.639223022692621e-05, -7.97637815285046e-05, -7.700815447245821e-05]",1.0111908855767758e-05,"[-5.841781904615108e-05, -5.667799023695996e-05, -2.8188185846362044e-05, -2.9952950380280266e-05, -2.6059331676723415e-05, -1.7746616234611573e-05, -9.693886985270715e-06, -9.215920053991031e-06, -6.757185093859144e-06, 9.215920053991031e-06, 9.693886985270715e-06, 1.7746616234611573e-05, 2.6059331676723415e-05, 2.9952950380280266e-05, 2.8188185846362044e-05, 5.667799023695996e-05, 5.841781904615108e-05]",6.8249365372609255e-06,"[-5.25333668709506e-05, -5.646678803350617e-05, -6.358550861443786e-05, -6.810175297726686e-05, -7.203300789103148e-05, -7.303202276521913e-05, -7.278848223545413e-05, -7.392883393656133e-05, -7.490708389428574e-05, -7.392883393656133e-05, -7.278848223545413e-05, -7.303202276521913e-05, -7.203300789103148e-05, -6.810175297726686e-05, -6.358550861443786e-05, -5.646678803350617e-05, -5.25333668709506e-05]",1.6445111895258205e-05,"[-1.929325561890803e-05, -1.8668548498550488e-05, -9.139318630453143e-06, -9.648356173175195e-06, -8.296130500056053e-06, -5.444823292608157e-06, -2.745307151013541e-06, -2.682261567434342e-06, -2.045137931446148e-06, 2.682261567434342e-06, 2.745307151013541e-06, 5.444823292608157e-06, 8.296130500056053e-06, 9.648356173175195e-06, 9.139318630453143e-06, 1.8668548498550488e-05, 1.929325561890803e-05]",2.2061816731273013e-05,"[3.0880228114885145e-05, 3.1496800014146046e-05, 3.327639967323185e-05, 3.484344325638405e-05, 3.559190036463466e-05, 3.375367445519054e-05, 3.2469661610184075e-05, 3.090371931624713e-05, 2.9528267156682365e-05, 3.090371931624713e-05, 3.2469661610184075e-05, 3.375367445519054e-05, 3.559190036463466e-05, 3.484344325638405e-05, 3.327639967323185e-05, 3.1496800014146046e-05, 3.0880228114885145e-05]",2.560472668915554e-06,"[3.711117429746535e-06, 3.32129905703785e-06, 1.5102765461905712e-06, 8.838004491120937e-07, -1.4445704049538846e-07, -2.1063442702436977e-06, -3.0458565027967436e-06, -1.8594576015268869e-06, 1.1554142816010252e-07, 1.8594576015268869e-06, 3.0458565027967436e-06, 2.1063442702436977e-06, 1.4445704049538846e-07, -8.838004491120937e-07, -1.5102765461905712e-06, -3.32129905703785e-06, -3.711117429746535e-06]",4.361611425404416e-06
10127.26986340981,7.846003977189912,18735.449247308152,433821,"[-6.33770229876648e-05, -6.623286608047472e-05, -6.839619091147971e-05, -7.227922249412815e-05, -7.51233019338142e-05, -7.356581736002244e-05, -7.085360054602279e-05, -6.844951118659358e-05, -6.645993621911959e-05, -6.844951118659358e-05, -7.085360054602279e-05, -7.356581736002244e-05, -7.51233019338142e-05, -7.227922249412815e-05, -6.839619091147971e-05, -6.623286608047472e-05, -6.33770229876648e-05]",7.2010225403371515e-06,"[-4.6624032137650776e-05, -4.615783768269976e-05, -3.924348236252129e-05, -3.6962112338621386e-05, -3.148584063206925e-05, -2.289050284955152e-05, -1.2128597085479336e-05, -5.597167284466408e-06, -3.044937534634522e-06, 5.597167284466408e-06, 1.2128597085479336e-05, 2.289050284955152e-05, 3.148584063206925e-05, 3.6962112338621386e-05, 3.924348236252129e-05, 4.615783768269976e-05, 4.6624032137650776e-05]",4.960641222295756e-06,"[-4.9054394985008325e-05, -5.2800046908027304e-05, -5.815769967682478e-05, -6.264732663965572e-05, -6.622223143597096e-05, -6.833901900072523e-05, -6.88299426747362e-05, -7.012594410809618e-05, -7.05237530691173e-05, -7.012594410809618e-05, -6.88299426747362e-05, -6.833901900072523e-05, -6.622223143597096e-05, -6.264732663965572e-05, -5.815769967682478e-05, -5.2800046908027304e-05, -4.9054394985008325e-05]",1.5392314065946333e-05,"[-1.525331328900563e-05, -1.5131252591615323e-05, -1.281332396876286e-05, -1.2036185973091546e-05, -1.0176665283882279e-05, -7.228402081550763e-06, -3.6226457754772454e-06, -1.5043120734303825e-06, -8.014404943063757e-07, 1.5043120734303825e-06, 3.6226457754772454e-06, 7.228402081550763e-06, 1.0176665283882279e-05, 1.2036185973091546e-05, 1.281332396876286e-05, 1.5131252591615323e-05, 1.525331328900563e-05]",1.84951729452985e-05,"[2.568442572787196e-05, 2.6306890924147826e-05, 2.675805548773313e-05, 2.7823827652666072e-05, 2.8526521489527577e-05, 2.7873348457935316e-05, 2.6916904363661372e-05, 2.5983975845525458e-05, 2.520695477036306e-05, 2.5983975845525458e-05, 2.6916904363661372e-05, 2.7873348457935316e-05, 2.8526521489527577e-05, 2.7823827652666072e-05, 2.675805548773313e-05, 2.6306890924147826e-05, 2.568442572787196e-05]",1.5608745110109686e-06,"[1.5773727218890796e-06, 2.19265874190346e-06, 1.965001857008792e-06, 1.8636745218174108e-06, 6.698769009030277e-07, -1.1974160669790416e-06, -2.0664497024655046e-06, -1.5871353224984863e-06, -6.018190290092974e-09, 1.5871353224984863e-06, 2.0664497024655046e-06, 1.1974160669790416e-06, -6.698769009030277e-07, -1.8636745218174108e-06, -1.965001857008792e-06, -2.19265874190346e-06, -1.5773727218890796e-06]",2.2870614670243363e-06
10122.834062519014,11.7071124555046,18727.243015660177,432249,"[-7.255486037984034e-05, -7.390789953190629e-05, -7.278284661424812e-05, -7.251428823375779e-05, -8.458269451885116e-05, -7.913382975574698e-05, -8.00590787003302e-05, -8.127010544263445e-05, -9.001098126689036e-05, -8.127010544263445e-05, -8.00590787003302e-05, -7.913382975574698e-05, -8.458269451885116e-05, -7.251428823375779e-05, -7.278284661424812e-05, -7.390789953190629e-05, -7.255486037984034e-05]",7.471221950702472e-06,"[-6.621592434125725e-05, -6.227189129641786e-05, -4.533577018821978e-05, -5.084045633886101e-05, -3.717989299103549e-05, -2.7767556683557297e-05, -4.837066335365645e-06, -1.699181594508183e-05, -1.2612418310571844e-06, 1.699181594508183e-05, 4.837066335365645e-06, 2.7767556683557297e-05, 3.717989299103549e-05, 5.084045633886101e-05, 4.533577018821978e-05, 6.227189129641786e-05, 6.621592434125725e-05]",6.563093189579933e-06,"[-5.632007206028956e-05, -6.360575659750272e-05, -7.196680568395718e-05, -7.467944957558694e-05, -8.336891812059788e-05, -8.383055172861186e-05, -8.620998112083986e-05, -8.727817494570374e-05, -9.067307887336687e-05, -8.727817494570374e-05, -8.620998112083986e-05, -8.383055172861186e-05, -8.336891812059788e-05, -7.467944957558694e-05, -7.196680568395718e-05, -6.360575659750272e-05, -5.632007206028956e-05]",2.3175316778727067e-05,"[-2.164338658607057e-05, -2.0361367813054344e-05, -1.4687816839360024e-05, -1.649680406704819e-05, -1.205664166662358e-05, -8.947007645192765e-06, -1.2460219004081471e-06, -5.287506137924423e-06, -1.792429706931505e-07, 5.287506137924423e-06, 1.2460219004081471e-06, 8.947007645192765e-06, 1.205664166662358e-05, 1.649680406704819e-05, 1.4687816839360024e-05, 2.0361367813054344e-05, 2.164338658607057e-05]",2.567595357016024e-05,"[2.897213278008248e-05, 2.8990198526960457e-05, 2.83144498483765e-05, 2.830804083688884e-05, 3.186545520527306e-05, 3.0129725623547653e-05, 3.0087160585039598e-05, 3.0563751184939886e-05, 3.31003996012396e-05, 3.0563751184939886e-05, 3.0087160585039598e-05, 3.0129725623547653e-05, 3.186545520527306e-05, 2.830804083688884e-05, 2.83144498483765e-05, 2.8990198526960457e-05, 2.897213278008248e-05]",1.6407694318457992e-06,"[1.7229080886943912e-06, 1.6432999684879597e-06, 2.9460007105555027e-07, 1.3068153799078536e-06, 1.0762956796326115e-06, 6.634858526689017e-07, -1.0444561421851998e-06, -1.8804114317605588e-07, -6.301120038774378e-07, 1.8804114317605588e-07, 1.0444561421851998e-06, -6.634858526689017e-07, -1.0762956796326115e-06, -1.3068153799078536e-06, -2.9460007105555027e-07, -1.6432999684879597e-06, -1.7229080886943912e-06]",2.078006021432864e-06
