Time (s),RAM Used (MB)
0.0,112.8671875
1.0055193901062012,112.8671875
2.006075859069824,112.8671875
3.006720781326294,112.8671875
4.007086753845215,112.8671875
5.00763463973999,112.8671875
6.008025169372559,112.8671875
7.008585691452026,112.8671875
8.008899927139282,112.8671875
9.009149074554443,112.8671875
10.009441137313843,112.8671875
11.009737968444824,112.8671875
12.009981632232666,112.8671875
13.010136127471924,112.8671875
14.010744094848633,112.8671875
15.011165618896484,112.8671875
16.01166343688965,112.8671875
17.012098789215088,112.8671875
18.01250195503235,112.8671875
19.013149738311768,112.8671875
20.013676404953003,112.8671875
21.01394248008728,112.8671875
22.01468062400818,112.8671875
23.015013933181763,112.8671875
24.015564441680908,112.8671875
25.015870332717896,112.8671875
26.016092538833618,112.8671875
27.016295194625854,112.8671875
28.01673197746277,112.8671875
29.016995191574097,112.8125
30.017691373825073,112.89453125
31.017983436584473,112.89453125
32.01814317703247,112.89453125
33.01849031448364,112.89453125
34.018611669540405,112.89453125
35.01887798309326,112.89453125
36.01910471916199,112.89453125
37.01932501792908,112.89453125
38.01995086669922,112.89453125
39.0201301574707,112.89453125
40.020259857177734,112.89453125
41.02094864845276,112.89453125
42.02194666862488,112.89453125
43.022254943847656,112.89453125
44.02239799499512,112.89453125
45.02273964881897,112.89453125
46.023460149765015,112.89453125
47.023662090301514,112.89453125
48.02453947067261,112.89453125
49.02478361129761,112.89453125
50.025410652160645,112.89453125
51.02583074569702,112.89453125
52.02608251571655,112.89453125
53.02663993835449,112.89453125
54.026777267456055,112.89453125
55.02741193771362,112.89453125
56.02817487716675,112.89453125
57.028563022613525,112.89453125
58.02870225906372,112.89453125
59.0289466381073,112.89453125
60.02922463417053,112.89453125
61.02951955795288,112.89453125
62.02975845336914,112.89453125
63.03027057647705,112.89453125
64.03062701225281,112.89453125
65.03092193603516,112.89453125
66.0313172340393,112.89453125
67.03179454803467,112.89453125
68.03244757652283,112.89453125
69.03287029266357,112.89453125
70.03329205513,112.89453125
71.03347253799438,112.89453125
72.03385734558105,112.89453125
73.03418183326721,112.89453125
74.03444337844849,112.89453125
75.0350501537323,112.8984375
76.03540301322937,112.8984375
77.03575158119202,112.8984375
78.03589916229248,112.8984375
79.036456823349,112.8984375
80.03675127029419,112.8984375
81.03691601753235,112.8984375
82.03703045845032,112.8984375
83.03759789466858,112.8984375
84.03797245025635,112.8984375
85.0381691455841,112.8984375
86.03843832015991,112.8984375
87.03880953788757,112.8984375
88.03934216499329,112.8984375
89.04030680656433,112.8984375
90.04111456871033,112.8984375
91.04151797294617,112.8984375
92.04199433326721,112.8984375
93.04225301742554,112.8984375
94.0426893234253,112.8984375
95.0431342124939,112.8984375
96.04343247413635,112.8984375
97.04382705688477,112.8984375
98.04394030570984,112.8984375
99.0440878868103,112.8984375
100.0446503162384,112.8984375
101.0448944568634,112.8984375
102.04514980316162,112.8984375
103.04578447341919,112.8984375
104.04626774787903,112.8984375
105.04681062698364,112.8984375
106.04757833480835,112.8984375
107.04832696914673,112.8984375
108.0488531589508,112.8984375
109.04923629760742,112.8984375
110.0500271320343,112.8984375
111.0503921508789,112.8984375
112.05052018165588,112.8984375
113.05100750923157,112.8984375
114.05149722099304,112.8984375
115.05238676071167,112.8984375
116.05287003517151,112.8984375
117.05346894264221,112.8984375
118.05420875549316,112.90234375
119.05479288101196,112.90234375
120.05560994148254,112.90234375
121.05666518211365,112.90234375
122.05710339546204,112.90234375
123.05747056007385,112.90234375
124.05833458900452,112.90234375
125.05876445770264,112.90234375
126.0594391822815,112.90234375
127.06007218360901,112.90234375
128.06026196479797,112.90234375
129.06081175804138,112.90234375
130.06126928329468,112.90234375
131.06165862083435,112.90234375
132.0618598461151,112.90234375
133.06265592575073,112.921875
134.06283140182495,112.921875
135.0630967617035,112.921875
136.0633819103241,112.921875
137.0636646747589,112.921875
138.06411051750183,112.921875
139.0643274784088,112.921875
140.06450819969177,112.921875
141.0650737285614,112.921875
142.06568217277527,112.921875
143.0662431716919,112.921875
144.06679582595825,112.921875
145.06703686714172,112.921875
146.06743478775024,112.921875
147.068053483963,112.921875
148.06840443611145,112.921875
149.06877541542053,112.921875
150.06906390190125,112.921875
151.06974363327026,112.921875
152.07042002677917,112.921875
153.070729970932,112.921875
154.07114958763123,112.921875
155.07162594795227,112.921875
156.07216429710388,112.921875
157.07264947891235,112.921875
158.07335233688354,112.921875
159.07413339614868,112.921875
160.07463479042053,112.921875
161.0754783153534,112.921875
162.07618308067322,112.921875
163.0769579410553,112.921875
164.07748746871948,112.921875
165.07808113098145,112.921875
166.0787148475647,112.921875
167.07913446426392,112.921875
168.07963371276855,112.921875
169.08003568649292,112.921875
170.08023643493652,112.921875
171.08039927482605,112.921875
172.08080673217773,112.921875
173.08112263679504,112.921875
174.08156299591064,112.921875
175.08215308189392,112.921875
176.0826060771942,112.921875
177.08283758163452,112.921875
178.08322930335999,112.921875
179.08391618728638,112.921875
180.0841042995453,112.921875
181.08427691459656,112.921875
182.08467960357666,112.921875
183.08483791351318,112.921875
184.08508372306824,112.921875
185.08571553230286,112.921875
186.08620190620422,112.921875
187.08658480644226,112.921875
188.08676886558533,112.921875
189.0869209766388,112.921875
190.08749175071716,112.921875
191.0878176689148,112.921875
192.08879899978638,112.921875
193.08924317359924,112.921875
194.09012746810913,112.921875
195.0907084941864,112.921875
196.0910449028015,112.921875
197.09130430221558,112.921875
198.09204745292664,112.921875
199.0925431251526,112.921875
200.0929310321808,112.90625
201.09347438812256,112.90625
202.09418654441833,112.90625
203.09498715400696,112.90625
