l_r_i,l_r_e,n_nerv_ang,esp_nerv_ang,esp_base_pad
0.28295705342626926,0.9219017727636111,0.08333333333333337,0.4754482958529412,0.8860810580169285
0.7776910321091587,0.020734127546366332,0.9166666666666667,0.08583144509233359,0.4867249123516646
0.00743545838416948,0.2724908760572492,0.75,0.48831833095679583,0.6458025886554648
0.9632628065558961,0.04530425999259899,0.75,0.8665553132008836,0.5044671171312256
0.10100140286096115,0.3996103942140421,0.5,0.23710904060369503,0.940723440931281
0.6425394879499399,0.8540302277617832,0.41666666666666674,0.7193777344497556,0.7181908195431939
0.7743754764517192,0.6849372199336813,0.8333333333333333,0.4275721955173715,0.4552074446850206
0.7936894978182091,0.9976384044684102,0.08333333333333337,0.9738668296614554,0.9839125103417243
0.36282774636509085,0.8019748908063241,0.08333333333333337,0.578297500314602,0.017902014795724175
0.6561350511516347,0.9129326843710638,0.25,0.9694829373780136,0.42244417889139263
0.07924920407888941,0.07793890769662523,0.08333333333333337,0.3849085429255515,0.7662548536519449
0.9333342386503503,0.11910517239386079,0.25,0.9076416109301813,0.5798002635514552
0.5492339406016725,0.689915775736601,0.6666666666666667,0.786051468285919,0.6484186095734721
0.01626101131618715,0.02816141721812121,0.41666666666666674,0.3600518199304346,0.3303628445752633
0.5643933712061959,0.8987576013029129,0.5,0.38228373204615435,0.08696942389710816
0.8760317475120007,0.27040595055746164,0.75,0.10182036695568081,0.5244897735199103
0.16526937012795567,0.7232259856119307,0.8333333333333333,0.5717768819623965,0.44905875176316234
0.4695164066615377,0.08859861135564687,0.9166666666666667,0.8060159200947064,0.12567513492784854
0.24644596735551333,0.18348131359522216,0.5,0.948826912720979,0.659663653730777
0.6211912692623727,0.07144342080428853,0.33333333333333326,0.19416619249415795,0.17618269919974794
0.7086637802494998,-0.00553546366257332,0.6666666666666667,0.26106621236936495,0.8094756954579241
0.2810768643725455,0.30068238565835403,0.75,0.3747477464364933,0.7552583356985887
0.5357444371293963,0.7091185926439868,0.6666666666666667,0.4260028306526242,0.5149651141162774
0.9318020746457154,0.7000922463954444,0.9166666666666667,0.3430648838124128,0.043207471965813427
0.08282256763980173,0.9389163203512557,0.6666666666666667,0.7795568906106967,0.7220456376375297
0.5126733989120723,0.687973992813927,0.5833333333333333,0.02801977483511242,0.137825120173375
0.8122464270241736,0.7467521674588193,0.6666666666666667,0.2920525203660224,0.9808221571694977
0.2527819150031558,0.4747185045936494,0.33333333333333326,0.6023016286398377,0.41576164978304386
0.11513524176467271,0.39422665398465995,0.9166666666666667,0.24417070139478597,0.423679989339915
0.32820942002770814,0.3066705736670974,0.5833333333333333,0.15930183513251772,0.8278326628252006
0.8905076814908586,0.16471426585364582,0.16666666666666674,0.6247163172047121,0.32432958894005404
0.5293936680913309,0.2022622548495477,1.0,0.01961285051597733,0.34208077004455106
0.8147711294214979,0.1782677476820134,0.5,0.8972484711754576,0.3817472989662716
0.4225278928460283,0.187359358345666,1.0,0.9437209784970484,0.09256571075539455
0.24243558682714944,0.3724970859913108,0.25,0.7209343478275925,0.5037440235471193
0.3381565827214882,0.589233653435242,0.5833333333333333,0.8580852468716957,0.10870281018227024
0.2127772379758805,0.2803591911913835,0.5,0.338713915259318,0.30572616842306055
0.1321347785481493,0.7620607870906304,0.75,0.7289316121418072,0.7296087644653817
0.3767360826693027,0.00510938474795164,0.6666666666666667,0.30066758949438194,0.566672610352031
0.3455559792091898,0.53221396641134,0.9166666666666667,0.5869274408401646,0.6856938299791928
0.6511316584890023,0.44224819911853597,0.08333333333333337,0.4333776524269977,0.025263866664400503
