Time (s),RAM Used (MB)
0.0023136138916015625,113.03125
0.9925453662872314,113.03125
1.9830472469329834,113.03125
2.9733967781066895,113.03125
3.96353816986084,113.03125
4.95375394821167,113.03125
5.943846225738525,113.03125
6.93405294418335,113.03125
7.924180746078491,113.03125
8.914630889892578,113.03125
9.904983758926392,113.03125
10.895381212234497,113.03125
11.885863780975342,113.03125
12.876370191574097,113.03125
13.86646556854248,113.03125
14.85701298713684,113.03125
15.847272396087646,113.03125
16.83768367767334,113.03125
17.828245162963867,113.03125
18.818528413772583,113.03125
19.808821201324463,113.03125
20.7992045879364,113.03125
21.78945016860962,113.03125
22.77985143661499,113.03125
23.770188808441162,113.03125
24.760552883148193,113.03125
25.75088357925415,113.03125
26.741148948669434,113.03125
27.731680393218994,113.03125
28.72225546836853,113.015625
29.71236777305603,113.015625
30.702865600585938,113.015625
31.693272352218628,113.015625
32.68343448638916,113.015625
33.67395544052124,113.015625
34.66451048851013,113.015625
35.65497136116028,113.015625
36.64549231529236,113.015625
37.635802268981934,113.015625
38.62637972831726,113.015625
39.61653423309326,113.015625
40.60670304298401,113.015625
41.59719395637512,113.015625
42.58743143081665,113.015625
43.57785940170288,113.015625
44.568023681640625,113.015625
45.55820965766907,113.015625
46.548532485961914,113.015625
47.53864407539368,113.015625
48.52898979187012,113.015625
49.519490480422974,113.015625
50.50978112220764,113.015625
51.500314712524414,113.015625
52.49085235595703,113.015625
53.48133873939514,113.015625
54.47164797782898,113.015625
55.462092876434326,113.015625
56.452388763427734,113.015625
57.44292998313904,113.015625
58.4332218170166,113.015625
59.42377805709839,113.015625
60.41433930397034,113.015625
61.40472078323364,113.015625
62.39528942108154,113.015625
63.38590931892395,113.015625
64.37623977661133,113.015625
65.36673164367676,113.015625
66.35707569122314,113.015625
67.347252368927,113.015625
68.33773636817932,113.015625
69.32814192771912,113.015625
70.31849694252014,113.015625
71.3087944984436,113.015625
72.29926300048828,113.015625
73.2896499633789,113.015625
74.2798764705658,113.015625
75.27001690864563,113.01953125
76.26054048538208,113.01953125
77.25083327293396,113.01953125
78.24132990837097,113.01953125
79.23147463798523,113.01953125
80.22160816192627,113.01953125
81.21201777458191,113.01953125
82.20227789878845,113.01953125
83.1926622390747,113.01953125
84.18332481384277,113.01953125
85.17384672164917,113.01953125
86.16403317451477,113.01953125
87.15436172485352,113.01953125
88.14493894577026,113.01953125
89.1355414390564,113.01953125
90.1257598400116,113.01953125
91.11612939834595,113.01953125
92.10681223869324,113.01953125
93.0970892906189,113.01953125
94.08738160133362,113.01953125
95.07784128189087,113.01953125
96.06829380989075,113.01953125
97.05871629714966,113.01953125
98.04893255233765,113.01953125
99.04705858230591,113.01953125
100.04769349098206,113.01953125
101.04832482337952,113.01953125
102.04891037940979,113.01953125
103.04934620857239,113.01953125
104.04985308647156,113.01953125
105.05040502548218,113.01953125
106.050710439682,113.01953125
107.05132603645325,113.01953125
108.0518970489502,113.01953125
109.05238628387451,113.01953125
110.0529568195343,113.01953125
111.05324077606201,113.01953125
112.05349349975586,113.01953125
113.05364060401917,113.01953125
114.05429434776306,113.01953125
115.05450010299683,113.01953125
116.05477213859558,113.01953125
117.05547070503235,113.01953125
118.05612301826477,113.01953125
119.0563268661499,113.01953125
120.05665493011475,113.01953125
