CO2_emission,Pump_power,Cool_power,Elastic_energy
0.4814287814766649,0.1146037242212698,0.11460372422111481,0.556914279729255
0.2740059471385745,0.845308188153271,0.8453081881552384,0.6360411998248112
0.5435706792891075,0.5730302250466368,0.5730302250064789,0.2586622249461117
0.6807867876636786,0.7245504198291436,0.7245504198317299,0.24820054520687695
0.5105101276205009,0.37226120400588336,0.37226120391226,0.4033788171367356
0.5863210436824273,0.058001530658503275,0.05800153065871133,0.2716910318734571
0.4421438809689633,0.0840564568076278,0.08405645680793183,0.2971912294040413
0.6783813502010441,0.012900173316959529,0.01290017331700627,0.33164595610345327
0.09562383244813866,0.11602601376350918,0.11602601376383342,0.6910135136036639
0.48234125605770384,0.04594275822722055,0.04594275822738347,0.2919552607685205
0.394691924184702,0.8448577411477097,0.844857741071749,0.619514137391185
0.5325994382489823,0.5254607074137,0.5254607074155999,0.3912019883878395
0.6724762269223623,0.1072547681761215,0.10725476817648838,0.14756259067492916
0.25001784077330225,1.1370629884008303,1.1370629883967835,0.519569144936979
0.16509063300649984,0.06160776425117137,0.06160776425138231,0.44842816352562553
0.2790415560733468,0.30382110127112993,0.30382110127222856,0.5759570488204684
0.5213800347446034,0.19517022225984898,0.19517022225857567,0.24917585906838213
0.5444540469550487,0.6210952133638352,0.6210952133024445,0.21217112611639855
0.6896602538666521,0.47678045949858805,0.4767804567834906,0.08717305715298251
0.08993303393889818,0.6719986424931617,0.6719986424936968,0.7790377732458325
0.48694360095428557,0.9668757043229218,0.9668757039623799,0.5461709219512476
0.5357079757359537,0.33231221089425356,0.3323121560145534,0.30402823813719193
0.4280560720359272,0.10959643461216412,0.10959643460777563,0.3114196624522283
0.22143189567462418,0.07083527472639078,0.07083527472664697,0.4015164152121342
0.7031398268649953,0.19981662861972727,0.19981662861637112,0.17248645620743241
0.032404760556098644,0.12004625722833467,0.12004625722794449,0.7941207059649718
0.5863568010984892,0.06155446092649869,0.06155446092672123,0.3585577110716336
0.3687101539882027,0.24875193525065564,0.24875193517390987,0.3771961449847454
0.3383458464728246,0.3594475993272285,0.3594475991954243,0.38770993860248293
0.43300713021660275,0.31890291416676364,0.31890283741674047,0.5077461491024589
0.28147424510659214,0.43544527590842685,0.4354452759093003,0.49717497531514065
0.1734060688917909,0.39903351336305315,0.3990335098693984,0.6214102493353943
0.5397216309036397,0.4209390626922347,0.42093906269375686,0.18632889697725386
0.6518665876005505,0.43117769531639916,0.43117769510727283,0.13026771523854785
0.42835126862908535,0.29613108743305994,0.296131069678993,0.3655925703686951
0.43297139415686736,0.1784798777615944,0.17847987536236887,0.25251325135080904
0.24754313363209768,0.38521948885052093,0.3852194684645632,0.40738739601498364
0.7099274906908022,0.202664700551498,0.20266470050240432,0.13911697578000504
0.3890304561202207,0.9751619306112064,0.9751619305845647,0.48004928228521027
0.6640108385128656,0.1977412089448516,0.19774120884486607,0.13081554521377092
0.05187049746024108,0.1933894612570209,0.19338946125675371,0.7774230222269134
