Peso,elastic_energy,CO2,p1_x,p1_y,p1_z,p1_T,p2_x,p2_y,p2_z,p2_T,p3_x,p3_y,p3_z,p3_T,p4_x,p4_y,p4_z,p4_T,p5_x,p5_y,p5_z,p5_T
48819.293642486555,189.95059936154234,126930.16347046505,7.685756258133673e-06,1.135288986974213e-05,8.91911421903016e-06,20.321049760800545,,,,,,,,,,,,,2.928665628079658e-06,-1.0887709518156832e-05,8.755370224581207e-06,20.320605256387406
47202.38536398658,24.128781377610874,122726.20194636511,1.0187659416038332e-05,2.4711064205187988e-05,4.474774826148089e-06,20.037502568072544,,,,,,,,,,,,,1.294576392033472e-06,-2.4175427165295084e-05,4.365211731075557e-06,20.037484608867484
45136.151380823445,25.149131793784143,117353.99359014096,1.101751483050149e-05,2.9875638264372793e-05,2.7239746716948912e-06,19.921956352452195,,,,,,,,,,,,,3.782018455436025e-07,-2.950502306355226e-05,2.69190247039411e-06,19.922045519835986
53660.00668418764,104.71372367299398,139516.01737888786,1.0014431621541101e-05,2.0259277844937474e-05,7.748677379978555e-06,20.23061733573974,,,,,1.2405524089500673e-05,-1.025161838357648e-08,-0.0001529786236633634,20.39997643054464,,,,,2.004227616321343e-06,-1.9579708795200186e-05,7.5782064632198025e-06,20.230216850035774
50781.0533727449,127.25182288483252,132030.73876913675,8.701166257110115e-06,1.6414204844522684e-05,7.4954209540896346e-06,20.204661959677537,5.434042002630038e-06,2.206060419912715e-05,-7.97431822579217e-05,20.228143290307724,1.1891410104612838e-05,-2.8862829636850337e-08,-0.00013532353704925787,20.352228531698387,5.446071423430735e-06,-2.163163693978013e-05,-7.721174603024073e-05,20.227296467510254,2.0142954845249936e-06,-1.5800943395921513e-05,7.410291522996704e-06,20.204418679069718
