Peso;elastic_energy;CO2;p1_x;p1_y;p1_z;p1_T;p2_x;p2_y;p2_z;p2_T;p3_x;p3_y;p3_z;p3_T;p4_x;p4_y;p4_z;p4_T;p5_x;p5_y;p5_z;p5_T
35765,57765171948;46,3929329047655;92990,50189447065;1,636139563347574e-05;4,363011085122462e-05;1,0689844081673715e-05;20,029957187995112;-3,033046934431488e-05;5,0075939188296576e-05;-0,0001417214835248675;20,02324792806675;-4,425138030211071e-05;-8,575135536561591e-08;-0,0002490073858628274;20,01644294164447;-3,0465083267570147e-05;-5,0246502160097914e-05;-0,0001416734735317743;20,02343717573207;-5,642381122004105e-06;-4,3952253209719314e-05;1,1434852715381328e-05;20,027799330697718
35384,139869369676;29,009575830628787;91998,76366036116;1,4040436542250801e-05;3,487465398640468e-05;7,837562021158387e-06;20,046887012368554;-4,1852448427591784e-05;3,6333978644360367e-05;-8,423046233106122e-05;20,041738422669773;-6,53422352730935e-05;-4,995401746633697e-08;-0,00014971688577066817;20,053195088819436;-4,1922817711178584e-05;-3,634780368362927e-05;-8,397771872272404e-05;20,041883540395244;-8,273648259222285e-07;-3,48150979994451e-05;7,910470107318666e-06;20,04585741895551
30848,789009902877;35,36812380357658;80206,85142574749;1,5559301322924418e-05;4,114285354962621e-05;9,674468917207202e-06;20,025916045011364;-4,5203302282244395e-05;4,573510810440261e-05;-0,00010911914059443743;20,014794939466814;-6,908848613817496e-05;-8,615481112060363e-08;-0,00019165510454145654;20,02121820662567;-4,5270845085884286e-05;-4,57190454101565e-05;-0,00010921139769465841;20,01483162014567;-4,531095116166064e-06;-4,131989194030462e-05;9,857115997859253e-06;20,024104497698843
54482,24598580037;39,48027399692665;141653,83956308098;1,4627619045154012e-05;3,8354878860229566e-05;7,170216070583536e-06;20,010474040504793;-1,641358653613572e-05;3,6513575553957095e-05;-9,500348854931625e-05;20,008970703181966;-2,23448383606454e-05;5,199806844458838e-08;-0,0001588741893461069;20,007777821026394;-1,6451605035165112e-05;-3,636515859138989e-05;-9,471566841402391e-05;20,00909054268392;-1,6912748237970274e-06;-3,8130897434565676e-05;7,1290434180414364e-06;20,010661667842797
35294,188779978314;41,84036929152607;91764,89082794361;1,585572485404385e-05;4,273695847553528e-05;8,277043368787208e-06;20,010827737628407;-2,273087717142135e-05;4,473737370274444e-05;-0,00013251246266383177;20,0106699310299;-3,1060365095619736e-05;2,003438172134666e-08;-0,00022621221885991662;20,01411428273694;-2,271954792261953e-05;-4,469561350334004e-05;-0,00013265380447629896;20,01074123453714;-3,280808260639316e-06;-4,2705831368599714e-05;8,13066580133851e-06;20,011237884739796
